"Sun Oct 26 2025 19:32:51 GMT-0400 (Eastern Daylight Time)"
"Diplomas and Completion"
"Status of the Students in the 2023-2024 Cohort"
"Student Subgroup","Advanced Diplomas","Standard Diplomas","Other Diplomas","GED's","Dropouts","Other Non-Graduates"
"All Students","50354","39349","1875","907","4438","1716"
"Female","27408","17323","610","350","1645","701"
"Male","22886","21945","1263","556","2789","1012"
"American Indian","108","117","5","4","10","3"
"Asian","6025","1443","97","16","68","35"
"Black","8111","10540","640","225","1119","707"
"Hispanic","7130","8367","270","133","1858","359"
"Native Hawaiian","97","61","3","3","2","2"
"White","25871","16565","763","464","1211","504"
"Multiple Races","3012","2256","97","62","170","106"
"Students with Disabilities","1430","7462","1875","125","868","115"
"Economically Disadvantaged","12779","21123","1108","494","2352","1214"
"English Learners","1583","4224","267","26","1427","150"
"Migrant","<","<","<","<","0","<"
"Homeless","197","699","48","29","170","78"
"Military Connected","2527","1493","44","18","52","30"
"Foster Care","22","180","23","11","85","24"
"
                  < = A group below state definition for personally identifiable results
- = Not applicable or no data for group
* = Data not yet available                "
