state,poverty_rate
Alabama,0.152
Alaska,0.102
Arizona,0.11699999999999999
Arkansas,0.155
California,0.11800000000000001
Colorado,0.096
Connecticut,0.102
Delaware,0.096
District of Columbia,0.17300000000000001
Florida,0.12
Georgia,0.126
Hawaii,0.1
Idaho,0.105
Illinois,0.11599999999999999
Indiana,0.122
Iowa,0.113
Kansas,0.109
Kentucky,0.156
Louisiana,0.187
Maine,0.106
Maryland,0.091
Massachusetts,0.09699999999999999
Michigan,0.134
Minnesota,0.09300000000000001
Mississippi,0.17800000000000002
Missouri,0.12300000000000001
Montana,0.102
Nebraska,0.109
Nevada,0.11599999999999999
New Hampshire,0.07200000000000001
New Jersey,0.092
New Mexico,0.16399999999999998
New York,0.14
North Carolina,0.125
North Dakota,0.111
Ohio,0.127
Oklahoma,0.149
Oregon,0.11800000000000001
Pennsylvania,0.11599999999999999
Rhode Island,0.122
South Carolina,0.133
South Dakota,0.10400000000000001
Tennessee,0.135
Texas,0.134
Utah,0.083
Vermont,0.09
Virginia,0.09699999999999999
Washington,0.099
West Virginia,0.16699999999999998
Wisconsin,0.10300000000000001
Wyoming,0.10099999999999999
Puerto Rico,0.373
