state,state_abbr,fips_state,poverty_rate,median_household_income,white_pct,black_pct,native_pct,asian_pct,pacific_pct,two_plus_pct,grocery_cost_index,benefits_may_2025,participants_may_2025,trifecta_2024,usda_snap_region,benefits_per_person
Alabama,AL,1,0.152,66659,0.6401166489165032,0.2524588968840562,0.0049599637357666,0.01543110600289,0.0011189098084242,0.0609857225092042,61.563,142142795.0,736178.0,Republican,Southeast,193.08210106794823
Alaska,AK,2,0.102,95665,0.5870836727993483,0.0250603607729962,0.1405463612620975,0.059552810103049,0.0170888205227979,0.1496906637050368,96.643,24181479.0,66377.0,Republican,Western,364.3050906187384
Arizona,AZ,4,0.1169999999999999,81486,0.5731275282285888,0.0475929470203566,0.0401753590955034,0.0399262290066026,0.0017961369405717,0.2040181557673681,108.58,161705602.0,887253.0,Divided,Southwest,182.25421835710895
Arkansas,AR,5,0.155,62106,0.6818985129295411,0.1417599795878322,0.0054903032489151,0.0178684179339544,0.0038065584450487,0.1178951635725697,56.669,41434391.0,239748.0,Republican,Southwest,172.82476183325826
California,CA,6,0.118,100149,0.3807584098941999,0.053529124846952,0.0142235362838872,0.1610289277317848,0.0039515853194963,0.1979982989639464,157.839,1045310679.0,5494318.0,Democratic,Western,190.2530357725927
Colorado,CO,8,0.096,97113,0.693598852134807,0.0425123382415492,0.011734296333324,0.0348344454899996,0.0016617725506731,0.1524281854081598,130.532,120493408.0,614843.0,Democratic,Mountain Plains,195.97426985425548
Connecticut,CT,9,0.102,96049,0.6369798771125114,0.1075783883241375,0.0040954333102317,0.048035560692874,0.0003224429255613,0.123009391116194,116.815,70118853.0,363524.0,Democratic,Northeast,192.88644766232767
Delaware,DE,10,0.096,87534,0.5816580585730623,0.2203928636955197,0.0039946117421811,0.0483108458176833,0.0009582505083575,0.0907799759866985,98.942,21340950.0,118209.0,Democratic,Mid-Atlantic,180.5357460091871
District of Columbia,DC,11,0.173,109707,0.3756454254182983,0.4131520113919544,0.0063396226415094,0.0495493058027767,0.0001794232823068,0.0982185831256675,168.539,26658037.0,140659.0,,Mid-Atlantic,189.5224407965363
Florida,FL,12,0.12,77735,0.5418233145638957,0.1476918212501468,0.0042886393095391,0.0309179938657932,0.0008616213739262,0.2055079075731589,123.063,535551777.0,2943012.0,Republican,Southeast,181.97403782247574
Georgia,GA,13,0.126,79991,0.4983131020658664,0.3060469848611173,0.0050105188519184,0.048964222666592,0.000796717395539,0.0873218543302234,88.252,252417633.0,1356493.0,Republican,Southeast,186.0810435439033
Hawaii,HI,15,0.1,100745,0.2194515629818842,0.0176240849817376,0.0034858167847506,0.3626086162807904,0.0953527513819489,0.2837936141993962,128.89,59178123.0,163576.0,Democratic,Western,361.7775407150193
Idaho,ID,16,0.105,81166,0.8089361661734825,0.0077672124415285,0.0112593855274155,0.0150737977607127,0.0015462483119914,0.1065617382728681,86.728,23906189.0,133545.0,Republican,Western,179.01223557602307
Illinois,IL,17,0.1159999999999999,83211,0.6018962942868216,0.1321542186965732,0.0082952548662258,0.063933430253188,0.0003503496966756,0.1067574455014642,92.399,368278250.0,1879564.0,Democratic,Midwest,195.93812714012398
Indiana,IN,18,0.122,71959,0.7601260781814703,0.0911964068440378,0.0051735380238364,0.0270886121651725,0.0007194977091464,0.0802651541136075,71.368,114763019.0,586403.0,Republican,Midwest,195.70673922200262
Iowa,IA,19,0.113,75501,0.8317260468031965,0.0415142675215826,0.003698301520783,0.0258859511434254,0.0018864792959282,0.0704608500787292,65.995,45159537.0,267158.0,Republican,Midwest,169.03681342127132
Kansas,KS,20,0.109,75514,0.7504987197898342,0.0534268092099726,0.008122585088699,0.0302712645163983,0.0014091400879147,0.1167940144199533,68.577,32971957.0,186036.0,Divided,Mountain Plains,177.2342826119676
Kentucky,KY,21,0.156,64526,0.8142731234520654,0.0711213040267877,0.0027107653869389,0.0187781199955016,0.0003643993991768,0.0751290435910601,62.885,106498834.0,595155.0,Divided,Southeast,178.9430215658106
Louisiana,LA,22,0.187,60986,0.5642137223940458,0.3041126727479152,0.0065649645260497,0.0182330884304027,0.0004360838150917,0.0810859248239352,65.091,150268544.0,803988.0,Republican,Southwest,186.90396374075235
Maine,ME,23,0.106,76442,0.896816539645213,0.0208147688418319,0.0043793220271428,0.0133763982086985,0.0002128095703097,0.0570792277930722,80.445,28869975.0,163520.0,Democratic,Northeast,176.55317392367905
Maryland,MD,24,0.091,102905,0.4689935847694955,0.2914031440696638,0.0047076423948065,0.0693580937600786,0.0005730279313196,0.091512991719914,119.879,121902010.0,667981.0,Democratic,Mid-Atlantic,182.49322959784783
Massachusetts,MA,25,0.0969999999999999,104828,0.6671825829285761,0.0685928069829044,0.0024287534589627,0.0772934112705539,0.0001772659315478,0.12139745530201,130.13,232066810.0,1076187.0,Democratic,Northeast,215.63799785724973
Michigan,MI,26,0.134,72389,0.7304385334036655,0.1301673819695933,0.0052827983427574,0.0374693098211826,0.0004556006784308,0.0765954479969792,78.886,258575524.0,1473832.0,Democratic,Midwest,175.44436815050832
Minnesota,MN,27,0.093,87117,0.7593423682552034,0.0756968012744705,0.009640867293119,0.0525040690291,0.0006176258827018,0.0733495467319943,90.622,71616027.0,451966.0,Democratic,Midwest,158.45445675117153
Mississippi,MS,28,0.178,59127,0.5556367639638538,0.3588021929668082,0.0050291449841915,0.0123141168415705,0.0001715909882451,0.0479758209609435,54.899,64432174.0,357042.0,Republican,Southeast,180.46104940035065
Missouri,MO,29,0.123,71589,0.7758806148332246,0.10469611074658,0.0034207215282254,0.0226801330757384,0.0014522535227955,0.0729817438762776,70.433,128629589.0,655940.0,Republican,Mountain Plains,196.09962649022776
Montana,MT,30,0.102,75340,0.8462716083687336,0.0030908353872953,0.0541225940506474,0.0082700730633036,0.0010974004447637,0.0769921379347943,76.743,13743731.0,80523.0,Republican,Mountain Plains,170.6808116935534
Nebraska,NE,31,0.109,76376,0.7663061851958597,0.0479245222806071,0.0127092655771775,0.0276145294909013,0.0008292337042861,0.0987416391003387,74.313,27258920.0,150600.0,Republican,Mountain Plains,181.00212483399736
Nevada,NV,32,0.1159999999999999,81134,0.4801796008957397,0.0951489334092739,0.0140099349128851,0.0945120486297183,0.0082709328051362,0.1733973135765411,113.327,85360880.0,496848.0,Divided,Western,171.80481756996105
New Hampshire,NH,33,0.072,99782,0.8755926054198911,0.0150975989189741,0.0019885992653112,0.0268602842234952,0.0002391712892255,0.064161779150509,114.615,12838748.0,75717.0,Divided,Northeast,169.562291163147
New Jersey,NJ,34,0.092,104294,0.5233622756529915,0.1290113906638468,0.007118730732647,0.1066502358578194,0.0003542840530811,0.1206602440139309,134.101,160778766.0,826094.0,Democratic,Mid-Atlantic,194.6252678266638
New Mexico,NM,35,0.1639999999999999,67816,0.4635137748702503,0.0234948287905303,0.0966048212045876,0.0200182513275399,0.0008491937119294,0.2584130733583193,75.264,80790060.0,457699.0,Democratic,Southwest,176.5135165250525
New York,NY,36,0.14,85820,0.543302977845749,0.1423512204609315,0.005983012846067,0.0953252810857346,0.0004150549688613,0.1003239099849158,121.919,647210404.0,2962913.0,Democratic,Northeast,218.43719474719643
North Carolina,NC,37,0.125,73958,0.6083775483377548,0.1982004565624699,0.0117299220063255,0.0362721464302449,0.0007642568946075,0.0887455069806113,80.837,240858724.0,1378291.0,Divided,Southeast,174.75172079045717
North Dakota,ND,38,0.111,77871,0.8199814705084814,0.0375397957236544,0.0426241074208353,0.0193530244749977,0.0009051330206586,0.0665806309065892,69.363,9959141.0,57129.0,Republican,Mountain Plains,174.32724185615012
Ohio,OH,39,0.127,72212,0.7598805012478012,0.1215690518394547,0.0021465410629905,0.0276200120774491,0.0005061723574521,0.069599582742308,72.08,269917495.0,1450955.0,Republican,Midwest,186.02747500783966
Oklahoma,OK,40,0.149,66148,0.6414356326731037,0.06582591707316,0.0709538742679884,0.0255106164414501,0.002547252485903,0.151005043960372,65.005,129386266.0,692477.0,Republican,Southwest,186.8455789867389
Oregon,OR,41,0.118,85220,0.7348444224530126,0.0193747219050031,0.0114681051809405,0.0494404629185995,0.0036904566574391,0.1221614415040266,108.96,140797421.0,772893.0,Democratic,Western,182.1693572072719
Pennsylvania,PA,42,0.1159999999999999,77545,0.734955654404614,0.1053730589411787,0.0027470513048226,0.0417672910815413,0.0002636337368912,0.0762486417854426,85.787,355777154.0,1958047.0,Divided,Mid-Atlantic,181.7000072010529
Rhode Island,RI,44,0.122,83504,0.6853857025212441,0.0555277854694922,0.0060774533672328,0.037539062921421,0.0005241354013456,0.1295054966789774,102.35,28680737.0,142726.0,Democratic,Northeast,200.94963076103863
South Carolina,SC,45,0.133,72350,0.6318882622953692,0.2363544340024359,0.0046079172728635,0.0200237970472168,0.0005858914063967,0.0803247992135548,80.469,105867349.0,567895.0,Republican,Southeast,186.4206393787584
South Dakota,SD,46,0.104,76881,0.7992773630347725,0.0202775263364512,0.0755286486299421,0.0170612402924722,0.0001643831468341,0.0708988838168036,64.873,14923544.0,75282.0,Republican,Mountain Plains,198.2352222310778
Tennessee,TN,47,0.135,71997,0.7195910207187576,0.149972121337899,0.003581474179378,0.0201935595448099,0.0004799557261941,0.0767666286188648,77.87,140318213.0,690545.0,Republican,Southeast,203.19923104214786
