state_abbr,RUCC,rural_urban_category
AK,8,rural
AL,5,mixed
AR,6,mixed
AZ,4,mixed
CA,3,urban
CO,6,mixed
CT,2,urban
DC,1,urban
DE,3,urban
FL,3,urban
GA,5,mixed
GU,5,mixed
HI,3,urban
IA,6,mixed
ID,6,mixed
IL,5,mixed
IN,4,mixed
KS,7,rural
KY,6,mixed
LA,4,mixed
MA,3,urban
MD,3,urban
ME,6,mixed
MI,5,mixed
MN,6,mixed
MO,6,mixed
MP,8,rural
MS,6,mixed
MT,7,rural
NC,5,mixed
ND,7,rural
NE,7,rural
NH,4,mixed
NJ,1,urban
NM,6,mixed
NV,6,mixed
NY,3,urban
OH,4,mixed
OK,6,mixed
OR,5,mixed
PA,4,mixed
PR,2,urban
RI,1,urban
SC,4,mixed
SD,8,rural
TN,5,mixed
TX,5,mixed
UT,6,mixed
VA,4,mixed
VI,6,mixed
VT,6,mixed
WA,4,mixed
WI,5,mixed
WV,6,mixed
WY,7,rural
