"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"0400000US01","Alabama","5157699","*****","3301529","10356","1302107","9734","25582","4563","79589","4065","5771","3218","128575","11429","314546","13388","132297","10341","182249","10111",
"0400000US02","Alaska","740133","*****","434520","3307","18548","3228","104023","4432","44077","2908","12648","1143","15526","2957","110791","6445","27505","4138","83286","5755",
"0400000US04","Arizona","7582384","*****","4345673","23871","360868","13306","304625","9603","302736","8583","13619","2949","707919","28713","1546944","36000","1154610","33856","392334","15959",
"0400000US05","Arkansas","3088354","*****","2105944","10689","437805","7124","16956","2806","55184","4070","11756","1631","96607","7960","364102","15116","232291","13845","131811","8479",
"0400000US06","California","39431263","*****","15013785","47086","2110721","20296","560852","26959","6349574","22280","155816","7228","7433192","77195","7807323","86112","5724096","77871","2083227","33689",
"0400000US08","Colorado","5957494","*****","4132111","18101","253267","9187","69907","5861","207526","6467","9900","1725","376693","19396","908090","22700","616690","20197","291400","13234",
"0400000US09","Connecticut","3675069","*****","2340945","13156","395358","10102","15051","2949","176534","4959","1185","735","293928","16780","452068","20815","288328","18383","163740","10952",
"0400000US10","Delaware","1051917","*****","611856","5923","231835","6725","4202","1582","50819","1557","1008","1412","56704","7839","95493","8072","49705","7289","45788","6760",
"0400000US11","District of Columbia","702250","*****","263797","4194","290136","4162","4452","2608","34796","1772","126","95","39969","7608","68974","7588","37873","6004","31101","4321",
"0400000US12","Florida","23372215","*****","12663611","39192","3451885","27175","100235","11078","722622","11288","20138","5765","1610549","43686","4803175","51100","3950109","51864","853066","28627",
"0400000US13","Georgia","11180878","*****","5571578","19884","3421874","19188","56022","8775","547463","7984","8908","3054","598698","23533","976335","29338","510752","20857","465583","20597",
"0400000US15","Hawaii","1446146","*****","317359","3859","25487","2450","5041","1390","524385","11879","137894","6161","25573","4551","410407","13597","33158","4115","377249","13626",
"0400000US16","Idaho","2001619","*****","1619182","8134","15547","2041","22537","3148","30172","2383","3095","841","97790","9129","213296","10275","135624","10194","77672","5014",
"0400000US17","Illinois","12710158","*****","7650197","19850","1679701","17623","105434","12396","812604","8766","4453","1367","1100865","33448","1356904","32232","866191","29977","490713","21072",
