"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"0400000US01","Alabama","66659","780",
"0400000US02","Alaska","95665","3278",
"0400000US04","Arizona","81486","684",
"0400000US05","Arkansas","62106","831",
"0400000US06","California","100149","381",
"0400000US08","Colorado","97113","1081",
"0400000US09","Connecticut","96049","1824",
"0400000US10","Delaware","87534","2747",
"0400000US11","District of Columbia","109707","4149",
"0400000US12","Florida","77735","564",
"0400000US13","Georgia","79991","633",
"0400000US15","Hawaii","100745","1760",
"0400000US16","Idaho","81166","1340",
"0400000US17","Illinois","83211","898",
"0400000US18","Indiana","71959","630",
"0400000US19","Iowa","75501","1016",
"0400000US20","Kansas","75514","996",
"0400000US21","Kentucky","64526","1165",
"0400000US22","Louisiana","60986","803",
"0400000US23","Maine","76442","1354",
"0400000US24","Maryland","102905","1404",
"0400000US25","Massachusetts","104828","1650",
"0400000US26","Michigan","72389","567",
"0400000US27","Minnesota","87117","961",
"0400000US28","Mississippi","59127","1560",
"0400000US29","Missouri","71589","703",
"0400000US30","Montana","75340","1635",
"0400000US31","Nebraska","76376","1384",
"0400000US32","Nevada","81134","1112",
"0400000US33","New Hampshire","99782","2489",
"0400000US34","New Jersey","104294","997",
"0400000US35","New Mexico","67816","1867",
"0400000US36","New York","85820","653",
"0400000US37","North Carolina","73958","863",
"0400000US38","North Dakota","77871","2755",
"0400000US39","Ohio","72212","538",
"0400000US40","Oklahoma","66148","663",
"0400000US41","Oregon","85220","1399",
"0400000US42","Pennsylvania","77545","816",
"0400000US44","Rhode Island","83504","3548",
"0400000US45","South Carolina","72350","959",
"0400000US46","South Dakota","76881","1990",
"0400000US47","Tennessee","71997","638",
"0400000US48","Texas","79721","564",
"0400000US49","Utah","96658","1179",
"0400000US50","Vermont","82730","1846",
"0400000US51","Virginia","92090","831",
"0400000US53","Washington","99389","1322",
"0400000US54","West Virginia","60798","1120",
"0400000US55","Wisconsin","77488","902",
"0400000US56","Wyoming","75532","2468",
"0400000US72","Puerto Rico","27213","751",
