SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM:  NUMBER OF PERSONS PARTICIPATING,,,,,
"(Data as of  August 8, 2025)",,,,,
State / Territory,"May 2024
","April 2025
Preliminary","May 2025
Initial","Percent Change
May 2025 vs
April 2025","Percent Change
May 2025 vs
May 2024"
Alabama,"749,707","737,704","736,178",-0.2%,-1.8%
Alaska,"79,542","63,507","66,377",4.5%,-16.6%
American Samoa,--,--,--,--,--
Arizona,"926,803","886,862","887,253",0.0%,-4.3%
Arkansas,"236,318","239,993","239,748",-0.1%,1.5%
California,"5,444,031","5,495,825","5,494,318",0.0%,0.9%
Colorado,"588,019","615,319","614,843",-0.1%,4.6%
Connecticut,"393,297","366,018","363,524",-0.7%,-7.6%
Delaware,"115,747","114,898","118,209",2.9%,2.1%
District of Columbia,"137,261","140,765","140,659",-0.1%,2.5%
Florida,"2,936,427","2,948,751","2,943,012",-0.2%,0.2%
Georgia,"1,396,236","1,342,571","1,356,493",1.0%,-2.8%
Guam,"32,661","36,993","38,152",3.1%,16.8%
Hawaii,"155,745","160,967","163,576",1.6%,5.0%
Idaho,"132,881","134,557","133,545",-0.8%,0.5%
Illinois,"1,948,556","1,882,087","1,879,564",-0.1%,-3.5%
Indiana,"601,789","588,485","586,403",-0.4%,-2.6%
Iowa,"258,850","265,385","267,158",0.7%,3.2%
Kansas,"187,537","186,183","186,036",-0.1%,-0.8%
Kentucky,"555,976","588,406","595,155",1.1%,7.0%
Louisiana,"834,136","810,034","803,988",-0.7%,-3.6%
Maine,"173,259","163,723","163,520",-0.1%,-5.6%
Maryland,"697,963","666,631","667,981",0.2%,-4.3%
Massachusetts,"1,122,571","1,084,257","1,076,187",-0.7%,-4.1%
Michigan,"1,460,465","1,488,317","1,473,832",-1.0%,0.9%
Minnesota,"454,581","452,653","451,966",-0.2%,-0.6%
Mississippi,"373,987","356,678","357,042",0.1%,-4.5%
Missouri,"655,339","652,427","655,940",0.5%,0.1%
Montana,"81,980","80,612","80,523",-0.1%,-1.8%
Nebraska,"155,110","150,264","150,600",0.2%,-2.9%
Nevada,"503,276","498,155","496,848",-0.3%,-1.3%
New Hampshire,"77,041","75,831","75,717",-0.2%,-1.7%
New Jersey,"850,015","826,593","826,094",-0.1%,-2.8%
New Mexico,"469,547","459,066","457,699",-0.3%,-2.5%
New York,"2,965,846","2,968,230","2,962,913",-0.2%,-0.1%
North Carolina,"1,400,599","1,416,527","1,378,291",-2.7%,-1.6%
North Dakota,"50,220","56,870","57,129",0.5%,13.8%
Ohio,"1,401,313","1,441,842","1,450,955",0.6%,3.5%
Oklahoma,"689,006","694,088","692,477",-0.2%,0.5%
Oregon,"767,546","776,467","772,893",-0.5%,0.7%
Pennsylvania,"2,014,560","1,969,806","1,958,047",-0.6%,-2.8%
Puerto Rico,--,--,--,--,--
Rhode Island,"144,510","144,225","142,726",-1.0%,-1.2%
South Carolina,"577,431","567,310","567,895",0.1%,-1.7%
South Dakota,"75,557","75,363","75,282",-0.1%,-0.4%
Tennessee,"718,191","687,647","690,545",0.4%,-3.8%
Texas,"3,146,408","3,480,330","3,455,085",-0.7%,9.8%
Utah,"173,215","177,537","177,087",-0.3%,2.2%
Vermont,"65,894","64,938","64,633",-0.5%,-1.9%
Virginia,"839,353","821,135","824,866",0.5%,-1.7%
Virgin Islands,"21,192","20,905","20,772",-0.6%,-2.0%
Washington,"892,304","906,414","905,471",-0.1%,1.5%
West Virginia,"280,551","273,283","273,566",0.1%,-2.5%
Wisconsin,"702,904","693,487","689,315",-0.6%,-1.9%
Wyoming,"29,304","27,593","27,122",-1.7%,-7.4%
Commonwealth of Northern Mariana Islands,--,--,--,--,--
DOD Army/Air Force,--,--,--,--,--
DOD Marines,--,--,--,--,--
DOD Navy,--,--,--,--,--
DOD Germany,--,--,--,--,--
     TOTAL,"41,742,557","41,824,514","41,735,210",-0.2%,0.0%
April 2025 and May 2025 data are preliminary and are subject to significant revision.,,,,,
Data may include disaster assistance.,,,,,
"The following areas receive Nutrition Assistance Grants which provide benefits analogous to the Supplemental Nutrition Assistance Program:  Puerto Rico, American Samoa, and the Northern Marianas. ",,,,,
,,,,,
