state,trifecta_2024
Alabama,Republican
Alaska,Republican
Arizona,Divided
Arkansas,Republican
California,Democratic
Colorado,Democratic
Connecticut,Democratic
Delaware,Democratic
Florida,Republican
Georgia,Republican
Hawaii,Democratic
Idaho,Republican
Illinois,Democratic
Indiana,Republican
Iowa,Republican
Kansas,Divided
Kentucky,Divided
Louisiana,Republican
Maine,Democratic
Maryland,Democratic
Massachusetts,Democratic
Michigan,Democratic
Minnesota,Democratic
Mississippi,Republican
Missouri,Republican
Montana,Republican
Nebraska,Republican
Nevada,Divided
New Hampshire,Divided
New Jersey,Democratic
New Mexico,Democratic
New York,Democratic
North Carolina,Divided
North Dakota,Republican
Ohio,Republican
Oklahoma,Republican
Oregon,Democratic
Pennsylvania,Divided
Rhode Island,Democratic
South Carolina,Republican
South Dakota,Republican
Tennessee,Republican
Texas,Republican
Utah,Republican
Vermont,Democratic
Virginia,Divided
Washington,Democratic
West Virginia,Republican
Wisconsin,Divided
Wyoming,Republican
