state,usda_snap_region
Delaware,Mid-Atlantic
District of Columbia,Mid-Atlantic
Maryland,Mid-Atlantic
New Jersey,Mid-Atlantic
Pennsylvania,Mid-Atlantic
Virginia,Mid-Atlantic
West Virginia,Mid-Atlantic
Illinois,Midwest
Indiana,Midwest
Iowa,Midwest
Michigan,Midwest
Minnesota,Midwest
Ohio,Midwest
Wisconsin,Midwest
Colorado,Mountain Plains
Kansas,Mountain Plains
Missouri,Mountain Plains
Montana,Mountain Plains
Nebraska,Mountain Plains
North Dakota,Mountain Plains
South Dakota,Mountain Plains
Wyoming,Mountain Plains
Connecticut,Northeast
Maine,Northeast
Massachusetts,Northeast
New Hampshire,Northeast
New York,Northeast
Rhode Island,Northeast
Vermont,Northeast
Virgin Islands,Northeast
Alabama,Southeast
Florida,Southeast
Georgia,Southeast
Kentucky,Southeast
Mississippi,Southeast
North Carolina,Southeast
South Carolina,Southeast
Tennessee,Southeast
Arizona,Southwest
Arkansas,Southwest
Louisiana,Southwest
New Mexico,Southwest
Oklahoma,Southwest
Texas,Southwest
Utah,Southwest
Alaska,Western
California,Western
Hawaii,Western
Idaho,Western
Nevada,Western
Oregon,Western
Washington,Western
Guam,Western
Northern Mariana Islands,Western
American Samoa,Western
