SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM:  BENEFITS,,,,,
"(Data as of August 8, 2025)",,,,,
State / Territory,"May 2024
","April 2025
Preliminary","May 2025
Initial","Percent Change
May 2025 vs
April 2025","Percent Change
May 2025 vs
May 2024"
Alabama ,"127,527,483","141,885,914","142,142,795",0.2%,11.5%
Alaska,"22,704,902","21,854,992","24,181,479",10.6%,6.5%
American Samoa,,,,--,--
Arizona,"161,957,481","161,431,076","161,705,602",0.2%,-0.2%
Arkansas,"37,779,257","41,862,894","41,434,391",-1.0%,9.7%
California,"1,020,377,545","1,046,071,206","1,045,310,679",-0.1%,2.4%
Colorado,"110,690,434","120,421,314","120,493,408",0.1%,8.9%
Connecticut,"75,214,502","70,535,036","70,118,853",-0.6%,-6.8%
Delaware,"20,987,299","20,982,627","21,340,950",1.7%,1.7%
District of Columbia,"25,504,224","26,894,300","26,658,037",-0.9%,4.5%
Florida,"553,355,198","537,138,067","535,551,777",-0.3%,-3.2%
Georgia,"247,640,574","249,244,748","252,417,633",1.3%,1.9%
Guam,"9,926,031","11,367,744","11,588,111",1.9%,16.7%
Hawaii,"58,764,487","56,804,192","59,178,123",4.2%,0.7%
Idaho,"23,563,895","24,028,810","23,906,189",-0.5%,1.5%
Illinois,"380,434,000","370,126,826","368,278,250",-0.5%,-3.2%
Indiana,"119,605,044","115,071,140","114,763,019",-0.3%,-4.0%
Iowa,"43,816,719","44,800,854","45,159,537",0.8%,3.1%
Kansas,"33,751,405","32,866,360","32,971,957",0.3%,-2.3%
Kentucky,"106,823,810","104,582,408","106,498,834",1.8%,-0.3%
Louisiana,"152,795,090","150,787,631","150,268,544",-0.3%,-1.7%
Maine,"29,826,564","28,741,928","28,869,975",0.4%,-3.2%
Maryland,"118,903,037","121,647,828","121,902,010",0.2%,2.5%
Massachusetts,"221,480,945","253,075,319","232,066,810",-8.3%,4.8%
Michigan,"252,056,019","260,304,037","258,575,524",-0.7%,2.6%
Minnesota,"71,820,452","71,684,520","71,616,027",-0.1%,-0.3%
Mississippi,"68,011,868","64,026,518","64,432,174",0.6%,-5.3%
Missouri,"107,085,889","127,939,292","128,629,589",0.5%,20.1%
Montana,"14,107,898","13,806,446","13,743,731",-0.5%,-2.6%
Nebraska,"28,175,265","27,235,760","27,258,920",0.1%,-3.3%
Nevada,"85,192,000","84,899,633","85,360,880",0.5%,0.2%
New Hampshire,"12,934,808","12,824,583","12,838,748",0.1%,-0.7%
New Jersey,"165,824,372","158,584,466","160,778,766",1.4%,-3.0%
New Mexico,"89,392,701","81,422,666","80,790,060",-0.8%,-9.6%
New York,"648,927,434","648,226,349","647,210,404",-0.2%,-0.3%
North Carolina,"240,665,630","249,066,847","240,858,724",-3.3%,0.1%
North Dakota,"9,414,080","10,008,646","9,959,141",-0.5%,5.8%
Ohio,"267,055,062","264,566,699","269,917,495",2.0%,1.1%
Oklahoma,"118,423,242","129,789,831","129,386,266",-0.3%,9.3%
Oregon,"136,198,835","141,516,668","140,797,421",-0.5%,3.4%
Pennsylvania,"316,306,101","353,801,109","355,777,154",0.6%,12.5%
Puerto Rico,,,,--,--
Rhode Island,"27,599,637","28,999,215","28,680,737",-1.1%,3.9%
South Carolina,"98,672,963","105,581,112","105,867,349",0.3%,7.3%
South Dakota,"15,066,645","14,877,271","14,923,544",0.3%,-0.9%
Tennessee,"135,021,739","144,836,299","140,318,213",-3.1%,3.9%
Texas,"591,041,138","631,810,084","614,386,464",-2.8%,3.9%
Utah,"33,513,506","34,153,580","34,030,139",-0.4%,1.5%
Vermont,"12,439,793","12,570,247","12,199,424",-3.0%,-1.9%
Virginia,"147,680,182","143,776,637","143,392,688",-0.3%,-2.9%
Virgin Islands,"5,402,189","5,461,722","5,407,726",-1.0%,0.1%
Washington,"157,213,495","167,067,696","167,068,578",0.0%,6.3%
West Virginia,"42,815,361","45,852,710","45,886,908",0.1%,7.2%
Wisconsin,"112,494,941","112,846,063","112,973,934",0.1%,0.4%
Wyoming,"4,246,055","5,062,900","4,985,385",-1.5%,17.4%
Outlying Areas,,,,--,--
DOD Army/Air Force,,,,--,--
DOD Marines,,,,--,--
DOD Navy,,,,--,--
DOD Germany,,,,--,--
     TOTAL,"7,718,229,226","7,904,822,820","7,864,859,076",-0.5%,1.9%
April 2025 and May 2025 data are preliminary and are subject to significant revision. Data may include disaster assistance.,,,,,
"The following areas receive Nutrition Assistance Grants which provide benefits analogous to the Supplemental Nutrition Assistance Program:  Puerto Rico, American Samoa, and the Northern Marianas. ",,,,,
,,,,,
